name,areaType,id,country
Dzata (Vanko) - Oil & Gas - Discovery(Drilled). 2010,FacilityArea,54880a192f16092e9efe5c60,Ghana
DIAMOND OCEAN BLACKHORNET,FacilityArea,54880a192f16092e9efe5be0,UnitedStates
Bonny Offshore LNG Terminal,FacilityArea,54880a192f16092e9efe5bf7,Nigeria
MURCHISON field,FacilityArea,54880a192f16092e9efe5c27,UnitedKingdom
Central Production Platform (Su Tu Den Terminal),FacilityArea,54880a192f16092e9efe5c18,Vietnam
Cabo San Antonio (Zone B),FacilityArea,54880a192f16092e9efe5c08,Argentina
FPSO CIDADE DE MANGARATIBA MV2,FacilityArea,54880a192f16092e9efe5c1f,Brazil
Blue dolphin,FacilityArea,54880a192f16092e9efe5c54,UnitedStates
GB 668,FacilityArea,54880a192f16092e9efe5be4,UnitedStates
Ensco 8505,FacilityArea,54880a192f16092e9efe5c42,UnitedStates
DISCOVERER INDIA,FacilityArea,54880a192f16092e9efe5c4d,None
DP-A (Sea Eagle),FacilityArea,54880a192f16092e9efe5c57,Nigeria
Cabo San Antonio (Zone A),FacilityArea,54880a192f16092e9efe5c07,Uruguay
Chi Linh FPSO (Bach Ho Field),FacilityArea,54880a192f16092e9efe5c1c,Vietnam
Cakerawala Gas Exploration,FacilityArea,54880a192f16092e9efe5c0c,Thailand
RJS-409/4-RJS-415,FacilityArea,54880a192f16092e9efe5c11,Brazil
Central Luconia Gas Field,FacilityArea,54880a192f16092e9efe5c16,Malaysia
CLOV (Cravo. Lirio. Orquidea and Violeta). Rosa (Total) - Block 17,FacilityArea,54880a192f16092e9efe5c22,Angola
CAL DIVE Q-4000,FacilityArea,54880a192f16092e9efe5c0d,UnitedStates
DUNLIN,FacilityArea,54880a192f16092e9efe5bf8,UnitedKingdom
Caan (Pemex),FacilityArea,54880a192f16092e9efe5c06,Mexico
Belayim (Eni),FacilityArea,54880a192f16092e9efe5bd6,Egypt
Awa Paloukou (ENI),FacilityArea,54880a192f16092e9efe5bca,Congo
Cabo San Antonio (Zone C),FacilityArea,54880a192f16092e9efe5c09,Argentina
Chac (Pemex),FacilityArea,54880a192f16092e9efe5c1a,Mexico
PECIKO field,FacilityArea,54880a192f16092e9efe5b92,Indonesia
Bongkot Gas field,FacilityArea,54880a192f16092e9efe5bf5,Thailand
Cabo San Antonio (Zone D),FacilityArea,54880a192f16092e9efe5c0a,Uruguay
Ceiba Marine Terminal,FacilityArea,54880a192f16092e9efe5c15,EquatorialGuinea
DP-B (Sea Eagle),FacilityArea,54880a192f16092e9efe5c58,Nigeria
Girassol - Block 17 (Rosa),FacilityArea,54880a192f16092e9efe5cd2,Angola
FPSO Kuito,FacilityArea,54880a192f16092e9efe5cbf,Angola
KAN TAN VI,FacilityArea,54880a192f16092e9efe5d50,China
WEST DON FIELD,FacilityArea,54880a192f16092e9efe5d7c,UnitedKingdom
Fulmar alpha- Fulmar oil field,FacilityArea,54880a192f16092e9efe5d81,UnitedKingdom
Maui,FacilityArea,54880a192f16092e9efe5d9f,NewZealand
Mexico-R1,FacilityArea,54880a192f16092e9efe5da4,UnitedStates
OCEAN CHAMPION,FacilityArea,54880a192f16092e9efe5e09,UnitedStates
OCEAN CRUSADER,FacilityArea,54880a192f16092e9efe5e0e,UnitedStates
Lakach,FacilityArea,54880a192f16092e9efe5d65,Mexico
ocean courage,FacilityArea,54880a192f16092e9efe5c30,Brazil
FPSO POLVO A,FacilityArea,54880a192f16092e9efe5cc4,Brazil
Espoir (Tullow),FacilityArea,54880a192f16092e9efe5c9f,IvoryCoast
HERCULES 252,FacilityArea,54880a192f16092e9efe5d1f,UnitedStates
Great white,FacilityArea,54880a192f16092e9efe5c8e,UnitedStates
Dan Oil field,FacilityArea,54880a192f16092e9efe5c94,Denmark
Triton FPSO - Triton Field,FacilityArea,54880a192f16092e9efe5d40,UnitedKingdom
HERCULES 300,FacilityArea,54880a192f16092e9efe5d2a,UnitedStates
Hazira SPM (Reliance),FacilityArea,54880a192f16092e9efe5d07,India
FPSO FPF-003 Terminal,FacilityArea,54880a192f16092e9efe5cb8,Thailand
RAIMY EYMARD,FacilityArea,54880a192f16092e9efe5d29,UnitedStates
India-R7,FacilityArea,54880a192f16092e9efe5d39,India
Kashagan (Eni. ExxonMobil. Shell. Total. ConocoPhillips. KasMunaiGaz. Inpex),FacilityArea,54880a192f16092e9efe5d52,Kazakhstan
Jubilee (Tullow Oil) - Oil & Gas,FacilityArea,54880a192f16092e9efe5d4c,Ghana
Loche East Marine,FacilityArea,54880a192f16092e9efe5d72,Gabon
MAERSK RESOLVE - HEJRE field,FacilityArea,54880a192f16092e9efe5d83,Denmark
Luanda Refinery,FacilityArea,54880a192f16092e9efe5d76,Angola
NOBLE LESTER PETTUS,FacilityArea,54880a192f16092e9efe5de5,UnitedStates
Kome Kribi 1 (Exxon Mobil),FacilityArea,54880a192f16092e9efe5d5f,Cameroon
ENSCO 6003,FacilityArea,54880a192f16092e9efe5c7d,Brazil
NOBLE BOB DOUGLAS,FacilityArea,54880a192f16092e9efe5c8c,UnitedStates
BP ATLANTIS PLATFORM,FacilityArea,54880a192f16092e9efe5d02,UnitedStates
Roar field,FacilityArea,54880a192f16092e9efe5ce2,Denmark
Tyra East,FacilityArea,54880a192f16092e9efe5cf4,Denmark
Panna Field - India-R10,FacilityArea,54880a192f16092e9efe5d33,India
HERCULES 350,FacilityArea,54880a192f16092e9efe5d2b,UnitedStates
Inim (ExxonMobil),FacilityArea,54880a192f16092e9efe5d3e,Nigeria
HERCULES 255,FacilityArea,54880a192f16092e9efe5d22,UnitedStates
WHEATSTONE,FacilityArea,54880a192f16092e9efe5c6e,Australia
HOWE,FacilityArea,54880a192f16092e9efe5c6c,UnitedKingdom
HERCULES 152,FacilityArea,54880a192f16092e9efe5d0d,UnitedStates
FPSO Erawan 2,FacilityArea,54880a192f16092e9efe5cb5,Thailand
HERCULES 211,FacilityArea,54880a192f16092e9efe5d19,UnitedStates
Erawan Gasfield,FacilityArea,54880a192f16092e9efe5c9a,Thailand
Ku-Maloob-Zaap Yuum Kaak Nab Complex Campeche (Pemex),FacilityArea,54880a192f16092e9efe5d61,Mexico
Mubarak Oil Field,FacilityArea,54880a192f16092e9efe5db0,UnitedArabEmirates
Mondo (Kizomba C Terminal) (ExxonMobil) - Block 15,FacilityArea,54880a192f16092e9efe5dac,Angola
Kizomba Marine Terminal - Block 15,FacilityArea,54880a192f16092e9efe5d59,Angola
Kikeh Marine Terminal,FacilityArea,54880a192f16092e9efe5d56,Malaysia
Oregano,FacilityArea,54880a192f16092e9efe5dd6,UnitedStates
Dalia - Block 17,FacilityArea,54880a192f16092e9efe5c2c,Angola
ENSCO 121,FacilityArea,54880a192f16092e9efe5c80,Denmark
Ocean APX,FacilityArea,54880a192f16092e9efe5c79,Australia
Gimboa (Sonangol) - Block 4,FacilityArea,54880a192f16092e9efe5cd1,Angola
ENSCO 81,FacilityArea,54880a192f16092e9efe5c87,UnitedStates
Ensco 120,FacilityArea,54880a192f16092e9efe5cec,UnitedKingdom
EI 337,FacilityArea,54880a192f16092e9efe5d09,UnitedStates
SEADRILL SEVAN LOUISIANA,FacilityArea,54880a192f16092e9efe5cc7,UnitedStates
Rig - Iolair,FacilityArea,54880a192f16092e9efe5db9,Mexico
Kitina (ENI),FacilityArea,54880a192f16092e9efe5d58,Congo
HI 596,FacilityArea,54880a192f16092e9efe5d6e,UnitedStates
Gorgon field,FacilityArea,54880a192f16092e9efe5c71,Australia
Egypt-R14,FacilityArea,54880a192f16092e9efe5c63,Egypt
Petroleo Nautipa,FacilityArea,54880a192f16092e9efe5ca1,Gabon
HERCULES 150,FacilityArea,54880a192f16092e9efe5d0c,UnitedStates
HERCULES 77,FacilityArea,54880a192f16092e9efe5d2d,UnitedStates
HERCULES 202,FacilityArea,54880a192f16092e9efe5d15,UnitedStates
Mfem Oilfield (ExxonMobil),FacilityArea,54880a192f16092e9efe5da5,Nigeria
DAVY,FacilityArea,54880a192f16092e9efe5d57,UnitedKingdom
Mafumeira (Chevron) - Gas - Block 0,FacilityArea,54880a192f16092e9efe5d85,Angola
Kungulo (Chevron) - Oil & Gas - 0A,FacilityArea,54880a192f16092e9efe5d62,Angola
Lomond field,FacilityArea,54880a192f16092e9efe5d84,UnitedKingdom
